date,title,link,content,date,title,link,content,date,title,link,content
"2010-01-07
								17:01",삼성전자，반도체·LCD사업 선전..주가도 ‘100만원 클럽’ 눈앞,https://finance.naver.com//news/news_read.naver?article_id=0002243968&office_id=014&mode=search&query=삼성전자 반도체&page=197,"이번 100조-10조원 클럽의 진입은 스마트폰 열풍 속에서도 삼성전자 휴대폰의 출하량이 급증하는 등 경쟁력이 꾸준히 강화된 동시에 반도체와 LC...
									
									
								
							파이낸셜뉴스 
|
 							
								
								2010-01-07
								17:01","2010-01-04
								08:25","[표] 외국인, 하이닉스 17거래일 연속 순매수",https://finance.naver.com//news/news_read.naver?article_id=0002297529&office_id=277&mode=search&query=하이닉스&page=199,"이어온 하이닉스(000660)에 대해 새해에도 증권가의 러브콜이 이어지고 있다. 하이닉스는 지난해 무려 245.52% 상승률을 기록하며 코스피200 종목 가운데 으뜸 수익...
									
								
							이데일리 
|
 							
								
								2010-01-04
								08:25","2010-01-06
								17:14","LG디스플레이 사장, 마케팅 준비 현황 점검",https://finance.naver.com//news/news_read.naver?article_id=0003060122&office_id=001&mode=search&query=LG디스플레이&page=66,"(서울=연합뉴스) 권영수 LG디스플레이 사장이 5일 라스베거스 벨라지오 호텔에 마련한 별도 부스에서 'CES 2010' 전시 개막에 앞서 고객 ...
									
									
								
							연합뉴스 
|
 							
								
								2010-01-06
								17:14"
"2010-02-04
								10:49","삼성전자 기술유출 반사익, 반도체 장비주 '好好'",https://finance.naver.com//news/news_read.naver?article_id=0002315559&office_id=277&mode=search&query=삼성전자 반도체&page=195,"삼성전자의 반도체 핵심기술을 비롯한 중요기술 94건이 AMAT를 통해 불법적으로 하이닉스로 전해졌다는 소식이 들려온 3일 코스닥 반도체 장비 업...
									
									
								
							아시아경제 
|
 							
								
								2010-02-04
								10:49","2010-02-02
								09:10",주인 못찾은 하이닉스 주가 어디로?,https://finance.naver.com//news/news_read.naver?article_id=0002214879&office_id=009&mode=search&query=하이닉스&page=175,"하이닉스(000660)의 인수의향서 접수가 2주간 연장된다는 소식에 주가가 이틀째 강세를 보이고 있다. 2일 오전 9시4분 현재 하이닉스는 전날보다 1.95%, 450원 ...
									
								
							이데일리 
|
 							
								
								2010-02-02
								09:10","2010-02-18
								18:31","[눈길 끄는 저PER주] LG디스플레이, 패널 가격 강세…올 순익 1조8000억 ...",https://finance.naver.com//news/news_read.naver?article_id=0002198818&office_id=015&mode=search&query=LG디스플레이&page=61,"LG디스플레이는 액정표시장치(LCD) 패널을 만드는 기업으로 삼성전자와 함께 세계 LCD패널 시장점유율 1~2위를 다투고 있다. 글로벌 디스플레...
									
									
								
							한국경제 
|
 							
								
								2010-02-18
								18:31"
"2010-03-23
								15:20","삼성전자, 바이오·3DTV·태양광…`제2의 반도체`로 키운다",https://finance.naver.com//news/news_read.naver?article_id=0002235409&office_id=009&mode=search&query=삼성전자 반도체&page=194,"프로그래머블 반도체(FPGA)업체인 미국 자일링스의 새로운 파트너로 선정됐다. 자일링스 물량은 지난 2월부터 양산하고 있다. 삼성전자가 주력으로...
									
									
								
							매일경제 
|
 							
								
								2010-03-23
								15:20","2010-03-04
								09:32",[이슈+]하이닉스 이사회 어떤 선택할까,https://finance.naver.com//news/news_read.naver?article_id=0002289822&office_id=008&mode=search&query=하이닉스&page=155,"매각 주간사도 곧 선정 - `뎃 커버넌트` 등 경영권 방어 방안도 강구  하이닉스반도체(000660) 주주협의회 소속 정책금융공사가 채권단이 추진중인 하이닉스 지분... 
									
								
							이데일리 
|
 							
								
								2010-03-04
								09:32","2010-03-05
								08:02",[기술혁신경영대상] LG : 디스플레이 8세대 확장라인 하반기 가동,https://finance.naver.com//news/news_read.naver?article_id=0002204508&office_id=015&mode=search&query=LG디스플레이&page=59,"5일 현대증권 및 관련업계는 삼성전자 LG디스플레이 등 국내 주요 LCD 패널업체와 부품업체를 대만 지진에 따른 수혜주로 지목하며 글로벌 시장 지배력 강화를... 
									
								
							아시아경제 
|
 							
								
								2010-03-05
								08:02"
"2010-04-05
								19:46",반도체 수요 폭발…삼성전자 올해 일낸다,https://finance.naver.com//news/news_read.naver?article_id=0002216166&office_id=015&mode=search&query=삼성전자 반도체&page=193,"[CBS 올 1분기 반도체가 대박을 터뜨리면서 삼성전자의 1분기 실적이 사상 최고치를 기록할 것으로 예상된다. 삼성전자는 6일 올해 1분기 실적 전망치를... 
									
								
							노컷뉴스 
|
 							
								
								2010-04-05
								19:46","2010-04-04
								14:36",은행실적 하이닉스 덕에 웃는다,https://finance.naver.com//news/news_read.naver?article_id=0000339724&office_id=016&mode=search&query=하이닉스&page=137,"유가증권 매각이익과 같은 일회성 요인이 작용한 가운데 보유 중이던 하이닉스... 이뤄진 하이닉스 보유지분 블록세일이 최대변수로 꼽힌다. 외환은행, 우리은행... 
									
								
							헤럴드경제 
|
 							
								
								2010-04-04
								14:36","2010-04-05
								10:48",[한국의 대표기업] LG디스플레이,https://finance.naver.com//news/news_read.naver?article_id=0002239658&office_id=009&mode=search&query=LG디스플레이&page=56,"[이데일리TV 최명일 PD] 데이트레이더들을 위한 정보 창고, 수익률 무한도전 코너에서는 오늘(5일) 이스트소프트(047560), GST(083450), LG디스플레이(0...
									
								
							이데일리 
|
 							
								
								2010-04-05
								10:48"
"2010-05-14
								15:15",삼성전자 ‘퓨전반도체’ 이끈다,https://finance.naver.com//news/news_read.naver?article_id=0002290810&office_id=014&mode=search&query=삼성전자 반도체&page=187,"삼성전자가 오는 17일 반도체와 액정표시장치(LCD) 등에 대한 대규모 투자계획을 발표한다. 삼성전자는 오는 17일 경기 화성 반도체사업장에서 이건희 회장이 참석한... 
									
								
							파이낸셜뉴스 
|
 							
								
								2010-05-14
								15:15","2010-05-02
								12:16",4월 다섯째주 코스피 외국인 순매도 1위 `하이닉스`,https://finance.naver.com//news/news_read.naver?article_id=0002248282&office_id=018&mode=search&query=하이닉스&page=126,"하이닉스반도체는 2일 탄소정보공개 프로젝트(CDP)가 주관하는 ‘CDP 서플라이... 현재 하이닉스 외에 델과 IBM, HP, 소니, 구글 등 50개 글로벌 기업이 참여하...
									
								
							헤럴드POP 
|
 							
								
								2010-05-02
								12:16","2010-05-02
								16:14","LG디스플레이 임직원, 680km 타클라마칸 사막 극한도전",https://finance.naver.com//news/news_read.naver?article_id=0002150291&office_id=079&mode=search&query=LG디스플레이&page=50,"[CBS LG디스플레이(대표이사 권영수) 임직원들이 ‘죽음의 바다’로 불리는 중국실크로드 ‘타클라마칸’ 사막을 종단하는 극한도전에 나선다. LG...
									
									
								
							노컷뉴스 
|
 							
								
								2010-05-02
								16:14"
"2010-06-11
								17:11","삼성전자-IBM, 32나노공정 반도체 신기술 공동개발",https://finance.naver.com//news/news_read.naver?article_id=0002344942&office_id=008&mode=search&query=삼성전자 반도체&page=183,"삼성전자 반도체사업부 시스템LSI 담당 우남성 부사장은 “32㎚ ‘하이-케이 메탈 게이트’ 로직공정 개발은 파운드리사업에서 기술 리더십을 확인하는 전략적인... 
									
								
							파이낸셜뉴스 
|
 							
								
								2010-06-11
								17:11","2010-06-01
								16:57",[코스피시황] 하이닉스등 대형 IT주 하락,https://finance.naver.com//news/news_read.naver?article_id=0002068946&office_id=011&mode=search&query=하이닉스&page=112,"종목별로는 삼성전자(-1.03%), 하이닉스(-2.19%) 등 대형 IT주가 하락했고 매각 기대감으로 전날 상한가를 기록했던 쌍용차(-3.79%...
									
									
								
							서울경제 
|
 							
								
								2010-06-01
								16:57","2010-06-04
								08:26",[단독] 애플·LG디스플레이 밀월,https://finance.naver.com//news/news_read.naver?article_id=0002270284&office_id=009&mode=search&query=LG디스플레이&page=44,"LG디스플레이가 세계 최대 LED 패키징 제조업체인 대만 ‘에버라이트 일렉트로닉스(Everlight Electronics)’ 및 LCD TV 위탁제조 전문업체 ‘암트란 테...
									
								
							헤럴드POP 
|
 							
								
								2010-06-04
								08:26"
"2010-07-09
								11:05","""삼성전자, 반도체 빼곤 고전""<FT>",https://finance.naver.com//news/news_read.naver?article_id=0003371917&office_id=001&mode=search&query=삼성전자 반도체&page=181,"그러나 “삼성전자는 매우 우수한 반도체 부문과 그저 그런 LCD패널, 휴대전화, 디지털미디어 부문으로 점점 분화되고 있다”며 “특히 패널과 휴대전화, 디지털미디어... 
									
								
							한국경제TV 
|
 							
								
								2010-07-09
								11:05","2010-07-02
								10:01",하이닉스 2분기 영업이익 1조 '사상최대',https://finance.naver.com//news/news_read.naver?article_id=0002262401&office_id=015&mode=search&query=하이닉스&page=102,"오늘(2일) 백발백중의 대형주 부문(KOSPI200) 최고관심주는 효성과 하이닉스이다. 두 종목 모두 5명의 추천을 받으며 1위에 올랐고 하이닉스는 어제에 이어 연속......
									
								
							머니투데이 
|
 							
								
								2010-07-02
								10:01","2010-07-05
								08:36","LG디스플레이, 중국 휴대폰시장 ‘IPS’로 채운다",https://finance.naver.com//news/news_read.naver?article_id=0002105823&office_id=112&mode=search&query=LG디스플레이&page=40,"스티브잡스가 극찬한 ‘IPS(In Plane Switching)’를 앞세워 LG디스플레이가 중국 휴대전화 시장 공략에 적극 나섰다. TV 및 모...
									
									
								
							헤럴드POP 
|
 							
								
								2010-07-05
								08:36"
"2010-08-03
								08:57","삼성전자, 신생 반도체 업체 지이에스 인수 왜?",https://finance.naver.com//news/news_read.naver?article_id=0002085717&office_id=011&mode=search&query=삼성전자 반도체&page=178,"이어 그는 ""아토는 삼성전자 반도체 CVD 장비 공급 1위 업체로 급부상했다""며 ""올해 매출액은 공식적으로 제시한 가이던스 1800억원을 뛰어넘을 것""이라고 내다봤다......
									
								
							머니투데이 
|
 							
								
								2010-08-03
								08:57","2010-08-04
								18:08",SK·하이닉스등 저평가株가 ‘보석’,https://finance.naver.com//news/news_read.naver?article_id=0000354004&office_id=016&mode=search&query=하이닉스&page=84,"하이닉스반도체는 최대주주가 기존 미래에셋자산운용에서 한국정책금융공사로 변경됐다고 4일 공시했다. 이번 최대주주 변경은 장내 주식 매매에 따른 것으로... 
									
								
							머니투데이 
|
 							
								
								2010-08-04
								18:08","2010-08-01
								12:00","LG디스플레이, 협력회사와 공동 장비개발",https://finance.naver.com//news/news_read.naver?article_id=0003368649&office_id=003&mode=search&query=LG디스플레이&page=34,"[ LG디스플레이는 액정표시장치(LCD) 패널의 광원 역할을 하는 부품인 백라이트 유닛(BLU)을 기계가 자동으로 검사하는 노트북 및 모니터 패널용 BLU 검사장비를 업계...
									
								
							아시아경제 
|
 							
								
								2010-08-01
								12:00"
"2010-09-07
								14:15","삼성전자, 모바일 반도체 신제품 대거 선봬",https://finance.naver.com//news/news_read.naver?article_id=0003424185&office_id=003&mode=search&query=삼성전자 반도체&page=177,"모바일 반도체 신제품을 대거 선보였다. 삼성전자는 이번 포럼에서 선보인 제품은 ▲1㎓ 듀얼코어 모바일 애플리케이션 프로세서(AP) ▲‘JEDEC...
									
									
								
							뉴시스 
|
 							
								
								2010-09-07
								14:15","2010-09-08
								09:07","""하이닉스 인수, LG·삼성이 타당""-키움",https://finance.naver.com//news/news_read.naver?article_id=0002392353&office_id=008&mode=search&query=하이닉스&page=74,"하이닉스가 메모리 반도체 산업에 대한 부정적 전망에 하락세다. 8일 오전 9시4분 코스피 시장에서 하이닉스는 전일 대비 1.8% 밀린 2만1100원에 거래되고 있다.......
									
								
							머니투데이 
|
 							
								
								2010-09-08
								09:07","2010-09-07
								09:09",[전문가추천주] LG디스플레이(034220),https://finance.naver.com//news/news_read.naver?article_id=0002093466&office_id=011&mode=search&query=LG디스플레이&page=30,"[ LG디스플레이가 '바닥 탈출은 아직 어렵다'는 증권가의 부정적 전망에 내림세다. 7일 오전 9시8분 현재 LG디스플레이는 전날 보다 400원(1.09%) 내린 3만63...
									
								
							아시아경제 
|
 							
								
								2010-09-07
								09:09"
"2010-10-05
								15:23",이건희 삼성전자 회장 “내년 반도체-LCD 경기 나빠질수도”,https://finance.naver.com//news/news_read.naver?article_id=0002168291&office_id=020&mode=search&query=삼성전자 반도체&page=176,"[ 삼성전자 기흥반도체 사업장에서 올 들어 2번째 정전사고가 발생했다. 6일 삼성전자에 따르면 기흥사업장에서 정전이 발생한 것은 오후 2시 59분 쯤으로 현재... 
									
								
							아시아경제 
|
 							
								
								2010-10-05
								15:23","2010-10-04
								16:51","[100대 지점 추천] ""삼성SDI와 하이닉스, 저가매수 기회""",https://finance.naver.com//news/news_read.naver?article_id=0002014028&office_id=013&mode=search&query=하이닉스&page=67,"-SK(003600) (투자의견: 12만원 돌파 시 매수) -3노드디지탈(900010) (투자의견: 추격매수 자제) -하이닉스(000660) (매수가: 2만2500원, ...
									
								
							이데일리 
|
 							
								
								2010-10-04
								16:51","2010-10-06
								09:41",LG디스플레이 블로그 방문자 10만명 돌파,https://finance.naver.com//news/news_read.naver?article_id=0004689897&office_id=001&mode=search&query=LG디스플레이&page=26,"LG디스플레이는 자사 공식블로그 'D군의 This Play'가 개설 3개월만에 누적 방문자 10만명을 돌파했다고 6일 밝혔다. 'D군의 This...
									
									
								
							연합뉴스 
|
 							
								
								2010-10-06
								09:41"
