date,title,link,content
"2017-03-06
								16:04","[분석플러스]삼성전자·SK하이닉스 다시 날았다…반도체주, 사드 무풍지대?",https://finance.naver.com//news/news_read.naver?article_id=0003736831&office_id=015&mode=search&query=삼성전자 반도체&page=200,"사상 초유의 그룹 총수 부재 사태로 비상경영에 돌입한 삼성전자가 올해 상반기... 확대한 반도체와 디스플레이 분야에서도 채용 확대가 중점적으로 이뤄질 것""이라고... 
									
								
							매일경제 
|
 							
								
								2017-03-06
								16:04"
"2017-03-13
								08:11","삼성전자, 중국 최대 반도체 회사로 '우뚝'",https://finance.naver.com//news/news_read.naver?article_id=0002171761&office_id=119&mode=search&query=삼성전자 반도체&page=199,"대신증권은 13일 삼성전자(005930)의 올해와 내년 순이익과 함께 목표주가를... 김경민 연구원은 “반도체 실적이 기존 추정치보다 크게 늘어날 것으로... 
									
								
							조선비즈 
|
 							
								
								2017-03-13
								08:11"
"2017-03-16
								13:54","삼성전자, 반도체 공정기술 개발 박차...연말 10나노 2세대 양산 계획",https://finance.naver.com//news/news_read.naver?article_id=0002172996&office_id=119&mode=search&query=삼성전자 반도체&page=198,"[헤럴드경제=증권팀] 유니셈은 삼성전자와 반도체 장비 공급계약을 체결했다고 16일 공시했다. 게약 금액은 24억6400만원이며 이는 2015년 매출액 대비 2.25... 
									
								
							헤럴드경제 
|
 							
								
								2017-03-16
								13:54"
"2017-04-06
								10:02","삼성전자, 차세대 반도체 소자 등 40개 미래기술육성사업 과제 선정",https://finance.naver.com//news/news_read.naver?article_id=0002655697&office_id=421&mode=search&query=삼성전자 반도체&page=195,"Δ차세대 반도체 재료와 소자 Δ스마트 머신(Smart Machine)을 위한 인텔리전스(Intelligence) 분야가 선정됐다. 지정테마 과제...
									
									
								
							뉴스1 
|
 							
								
								2017-04-06
								10:02"
"2017-04-07
								09:26","‘스마트폰 공백에도 반도체의 힘’ 삼성전자 1분기 영업이익 9조9천억원, 역대 두...",https://finance.naver.com//news/news_read.naver?article_id=0002778675&office_id=032&mode=search&query=삼성전자 반도체&page=194,"삼성전자가 반도체 시장의 호조에 힘입어 올해 1분기 역대 두번째로 높은 9조9000억원의 영업이익을 올린 것으로 집계됐다. 지난해 10월 갤럭시...
									
									
								
							경향신문 
|
 							
								
								2017-04-07
								09:26"
"2017-04-07
								11:15",[삼성전자 1분기 깜짝 실적]수년을 내다본 미래투자 ‘반도체의 힘’…앞날은 불투명,https://finance.naver.com//news/news_read.naver?article_id=0001221340&office_id=016&mode=search&query=삼성전자 반도체&page=193,"시장전문가들은 1분기 삼성전자가 메모리반도체에서 약 5조 8000억~5조9000억원, 시스템반도체에서 2000억원대 영업이익을 올린 것으로 보고...
									
									
								
							헤럴드경제 
|
 							
								
								2017-04-07
								11:15"
"2017-05-08
								16:06","[삼성전자 '반도체 왕좌' 눈앞] 맨땅서 일군 반도체 신화...삼성, 34년만에 ...",https://finance.naver.com//news/news_read.naver?article_id=0003026033&office_id=011&mode=search&query=삼성전자 반도체&page=186,"= 원익IPS는 삼성전자와 402억5000만원 규모의 반도체 제조장비 공급계약을 체결했다고 8일 공시했다. 이는 최근 매출액(2440억원)의 16.49% 규모다.... 
									
								
							뉴시스 
|
 							
								
								2017-05-08
								16:06"
"2017-05-12
								13:35","삼성전자, '반도체 파운드리 사업부' 신설",https://finance.naver.com//news/news_read.naver?article_id=0003871707&office_id=008&mode=search&query=삼성전자 반도체&page=185,"유니셈(036200)은 삼성전자(005930)에 31억940만원 규모의 반도체 장비 공급 계약을 체결했다고 12일 공시했다. 계약기간은 오는 11월 30일까지다.... 
									
								
							조선비즈 
|
 							
								
								2017-05-12
								13:35"
"2017-05-16
								08:49","삼성전자, 사상 최대 반도체투자 전망…수혜주는?",https://finance.naver.com//news/news_read.naver?article_id=0000411331&office_id=031&mode=search&query=삼성전자 반도체&page=184,"올해 삼성전자 반도체 CAPEX는 전년 대비 86% 증가한 24조5천억원으로 예상했다. 역사상 최대치인 2015년의 14조7천억원을 크게 웃도는...
									
									
								
							아이뉴스24 
|
 							
								
								2017-05-16
								08:49"
"2017-06-07
								15:52","""삼성전자, 올해 역대 최대로 반도체에 투자한다""",https://finance.naver.com//news/news_read.naver?article_id=0003841048&office_id=018&mode=search&query=삼성전자 반도체&page=182,"= 엘오티베큠(083310)은 삼성전자와 35억9500만원 규모의 반도체 공정용 플라즈마 전처리시스템 및 건식진공펌프 공급계약을 체결했다고 7일 공시했다.... 
									
								
							뉴시스 
|
 							
								
								2017-06-07
								15:52"
"2017-06-15
								10:12",삼성전자 '세계 최대' 평택 반도체 공장 이달말 가동…잔치는 없다,https://finance.naver.com//news/news_read.naver?article_id=0002787119&office_id=421&mode=search&query=삼성전자 반도체&page=181,"2011년 9월 22일 삼성전자 반도체 나노시티 화성캠퍼스에서 개최된 '메모리 16라인 가동식 및 20나노 D램·플래시 양산' 행사에서 이건희 ...
									
									
								
							뉴스1 
|
 							
								
								2017-06-15
								10:12"
"2017-06-30
								16:23","삼성전자, 상반기 성과급 지급…반도체사업부 또 100%",https://finance.naver.com//news/news_read.naver?article_id=0009375424&office_id=001&mode=search&query=삼성전자 반도체&page=180,"[서울경제] 삼성전자(005930)가 다음 달 초 직원들에게 월 기본급의 최대 100%에... 상반기 사업부별 TAI 지급률은 최근 ‘수퍼 호황’을 누리고 있는 반도체.....
									
								
							서울경제 
|
 							
								
								2017-06-30
								16:23"
